eliability :  0.623, time : 1540426000.000
0.104, reliability :  0.704, time : 1540402000.000
mean :  4.640, stdev :  0.413, reliability :  0.911, time : 1544933000.000
mean :  4.645, stdev :  0.415, reliability :  0.911, time : 1544955400.000
mean :  4.636, stdev :  0.416, reliability :  0.910, time : 1544977900.000
mean :  4.644, stdev :  0.414, reliability :  0.911, time : 1545001700.000
mean :  4.646, stdev :  0.410, reliability :  0.912, time : 1545024300.000
mean :  4.639, stdev :  0.417, reliability :  0.910, time : 1545048200.000
mean :  4.648, stdev :  0.412, reliability :  0.911, time : 1545070700.000
mean :  4.639, stdev :  0.414, reliability :  0.911, time : 1545093800.000
mean :  4.644, stdev :  0.413, reliability :  0.911, time : 1545117100.000
mean :  4.647, stdev :  0.414, reliability :  0.911, time : 1545139200.000
mean :  4.636, stdev :  0.417, reliability :  0.910, time : 1545163800.000
mean :  4.644, stdev :  0.414, reliability :  0.911, time : 1545186000.000
mean :  4.641, stdev :  0.415, reliability :  0.911, time : 1545209600.000
mean :  4.634, stdev :  0.415, reliability :  0.911, time : 1545232300.000
mean :  4.648, stdev :  0.414, reliability :  0.911, time : 1545254500.000
mean :  4.634, stdev :  0.417, reliability :  0.910, time : 1545279000.000
mean :  4.642, stdev :  0.413, reliability :  0.911, time : 1545301400.000
mean :  4.644, stdev :  0.413, reliability :  0.911, time : 1545325400.000
mean :  4.640, stdev :  0.413, reliability :  0.911, time : 1545347700.000
mean :  4.655, stdev :  0.411, reliability :  0.912, time : 1545369900.000
mean :  4.648, stdev :  0.411, reliability :  0.912, time : 1545394000.000
mean :  4.646, stdev :  0.411, reliability :  0.911, time : 1545416700.000
mean :  4.646, stdev :  0.416, reliability :  0.911, time : 1545440800.000
mean :  4.634, stdev :  0.415, reliability :  0.910, time : 1545463000.000
mean :  4.638, stdev :  0.416, reliability :  0.910, time : 1545485300.000
mean :  4.639, stdev :  0.413, reliability :  0.911, time : 1545509400.000
mean :  4.626, stdev :  0.418, reliability :  0.910, time : 1545532000.000
mean :  4.644, stdev :  0.417, reliability :  0.910, time : 1545556100.000
mean :  4.638, stdev :  0.412, reliability :  0.911, time : 1545578400.000
mean :  4.644, stdev :  0.411, reliability :  0.912, time : 1545601400.000
mean :  4.646, stdev :  0.415, reliability :  0.911, time : 1545624600.000
mean :  4.632, stdev :  0.417, reliability :  0.910, time : 1545647100.000
mean :  4.648, stdev :  0.414, reliability :  0.911, time : 1545671400.000
mean :  4.646, stdev :  0.412, reliability :  0.911, time : 1545693700.000
mean :  4.643, stdev :  0.412, reliability :  0.911, time : 1545717500.000
mean :  4.654, stdev :  0.410, reliability :  0.912, time : 1545740200.000
mean :  4.641, stdev :  0.415, reliability :  0.911, time : 1545762400.000
mean :  4.641, stdev :  0.414, reliability :  0.911, time : 1545786900.000
mean :  4.640, stdev :  0.414, reliability :  0.911, time : 1545809200.000
mean :  4.628, stdev :  0.419, reliability :  0.909, time : 1545833200.000
mean :  4.643, stdev :  0.414, reliability :  0.911, time : 1545855500.000
mean :  4.635, stdev :  0.415, reliability :  0.911, time : 1545877600.000
mean :  4.640, stdev :  0.411, reliability :  0.911, time : 1545901800.000
mean :  4.648, stdev :  0.414, reliability :  0.911, time : 1545924500.000
mean :  4.640, stdev :  0.411, reliability :  0.911, time : 1545948500.000
mean :  4.645, stdev :  0.413, reliability :  0.911, time : 1545970800.000
mean :  4.641, stdev :  0.413, reliability :  0.911, time : 1545993000.000
mean :  4.636, stdev :  0.416, reliability :  0.910, time : 1546017200.000
mean :  4.648, stdev :  0.414, reliability :  0.911, time : 1546039700.000
mean :  4.642, stdev :  0.414, reliability :  0.911, time : 1546063700.000
mean :  4.650, stdev :  0.411, reliability :  0.912, time : 1546086100.000
mean :  4.648, stdev :  0.414, reliability :  0.911, time : 1546108900.000
mean :  4.636, stdev :  0.415, reliability :  0.910, time : 1546132500.000
mean :  4.640, stdev :  0.418, reliability :  0.910, time : 1546155000.000
mean :  4.635, stdev :  0.416, reliability :  0.910, time : 1546179200.000
mean :  4.636, stdev :  0.413, reliability :  0.911, time : 1546201500.000
mean :  4.642, stdev :  0.414, reliability :  0.911, time : 1546224800.000
mean :  4.634, stdev :  0.417, reliability :  0.910, time : 1546247800.000
mean :  4.646, stdev :  0.414, reliability :  0.911, time : 1546270000.000
mean :  4.648, stdev :  0.412, reliability :  0.911, time : 1546294500.000
mean :  4.639, stdev :  0.415, reliability :  0.910, time : 1546316800.000
mean :  4.656, stdev :  0.410, reliability :  0.912, time : 1546341100.000
mean :  4.646, stdev :  0.411, reliability :  0.911, time : 1546363300.000
mean :  4.644, stdev :  0.414, reliability :  0.911, time : 1546385300.000
mean :  4.646, stdev :  0.416, reliability :  0.911, time : 1546409700.000
mean :  4.629, stdev :  0.419, reliability :  0.910, time : 1546432100.000
mean :  4.641, stdev :  0.416, reliability :  0.910, time : 1546456300.000
mean :  4.634, stdev :  0.416, reliability :  0.910, time : 1546478600.000
mean :  4.631, stdev :  0.416, reliability :  0.910, time : 1546500600.000
mean :  4.643, stdev :  0.414, reliability :  0.911, time : 1546524900.000
mean :  4.637, stdev :  0.416, reliability :  0.910, time : 1546547600.000
mean :  4.648, stdev :  0.412, reliability :  0.911, time : 1546571600.000
mean :  4.654, stdev :  0.409, reliability :  0.912, time : 1546593900.000
mean :  4.648, stdev :  0.413, reliability :  0.911, time : 1546616400.000
mean :  4.656, stdev :  0.411, reliability :  0.912, time : 1546640300.000
mean :  4.653, stdev :  0.407, reliability :  0.913, time : 1546662700.000
mean :  4.648, stdev :  0.410, reliability :  0.912, time : 1546687000.000
mean :  4.649, stdev :  0.414, reliability :  0.911, time : 1546709400.000
mean :  4.635, stdev :  0.415, reliability :  0.911, time : 1546732800.000
mean :  4.637, stdev :  0.419, reliability :  0.910, time : 1546755600.000
mean :  4.634, stdev :  0.415, reliability :  0.910, time : 1546777900.000
mean :  4.629, stdev :  0.417, reliability :  0.910, time : 1546802300.000
mean :  4.647, stdev :  0.412, reliability :  0.911, time : 1546824600.000
mean :  4.643, stdev :  0.413, reliability :  0.911, time : 1546848600.000
mean :  4.647, stdev :  0.412, reliability :  0.911, time : 1546870900.000
mean :  4.654, stdev :  0.411, reliability :  0.912, time : 1546893200.000
mean :  4.641, stdev :  0.415, reliability :  0.911, time : 1546917600.000
mean :  4.653, stdev :  0.412, reliability :  0.911, time : 1546940000.000
mean :  4.654, stdev :  0.406, reliability :  0.913, time : 1546964200.000
mean :  4.647, stdev :  0.408, reliability :  0.912, time : 1546986500.000
mean :  4.654, stdev :  0.412, reliability :  0.911, time : 1547008800.000
mean :  4.643, stdev :  0.411, reliability :  0.911, time : 1547032800.000
mean :  4.651, stdev :  0.410, reliability :  0.912, time : 1547055500.000
mean :  4.653, stdev :  0.408, reliability :  0.912, time : 1547079600.000
mean :  4.638, stdev :  0.415, reliability :  0.911, time : 1547101800.000
mean :  4.648, stdev :  0.413, reliability :  0.911, time : 1547124700.000
mean :  4.639, stdev :  0.413, reliability :  0.911, time : 1547148200.000
mean :  4.639, stdev :  0.412, reliability :  0.911, time : 1547170600.000
mean :  4.643, stdev :  0.415, reliability :  0.911, time : 1547194900.000
mean :  4.626, stdev :  0.420, reliability :  0.909, time : 1547217200.000
mean :  4.637, stdev :  0.418, reliability :  0.910, time : 1547240600.000
mean :  4.637, stdev :  0.413, reliability :  0.911, time : 1547263500.000
mean :  4.633, stdev :  0.412, reliability :  0.911, time : 1547285800.000
mean :  4.645, stdev :  0.415, reliability :  0.911, time : 1547310200.000
mean :  4.637, stdev :  0.415, reliability :  0.910, time : 1547332500.000
mean :  4.649, stdev :  0.410, reliability :  0.912, time : 1547356500.000
mean :  4.641, stdev :  0.410, reliability :  0.912, time : 1547378800.000
mean :  4.393, stdev :  0.300, reliability :  0.932, time : 1547401100.000
mean :  4.011, stdev :  0.214, reliability :  0.947, time : 1547425400.000
mean :  3.881, stdev :  0.232, reliability :  0.940, time : 1547447900.000
mean :  3.919, stdev :  0.233, reliability :  0.941, time : 1547472300.000
mean :  3.462, stdev :  1.157, reliability :  0.666, time : 1547494500.000
mean :  0.217, stdev :  0.302, reliability : -0.390, time : 1547516700.000
mean :  0.216, stdev :  0.305, reliability : -0.413, time : 1547540200.000
mean :  0.219, stdev :  0.303, reliability : -0.386, time : 1547562000.000
mean :  0.219, stdev :  0.303, reliability : -0.387, time : 1547585200.000
mean :  0.215, stdev :  0.303, reliability : -0.409, time : 1547607300.000
mean :  0.221, stdev :  0.304, reliability : -0.379, time : 1547629200.000
mean :  0.224, stdev :  0.307, reliability : -0.373, time : 1547652700.000
mean :  0.217, stdev :  0.307, reliability : -0.415, time : 1547674400.000
mean :  0.221, stdev :  0.306, reliability : -0.384, time : 1547695900.000
mean :  0.223, stdev :  0.309, reliability : -0.382, time : 1547719900.000
mean :  0.213, stdev :  0.302, reliability : -0.421, time : 1547741600.000
mean :  0.218, stdev :  0.303, reliability : -0.391, time : 1547763300.000
mean :  0.216, stdev :  0.303, reliability : -0.403, time : 1547786600.000
mean :  0.211, stdev :  0.300, reliability : -0.420, time : 1547808600.000
mean :  0.215, stdev :  0.301, reliability : -0.402, time : 1547832100.000
mean :  0.215, stdev :  0.303, reliability : -0.408, time : 1547853800.000
mean :  0.212, stdev :  0.299, reliability : -0.410, time : 1547875500.000
mean :  0.214, stdev :  0.295, reliability : -0.378, time : 1547899400.000
mean :  0.208, stdev :  0.287, reliability : -0.378, time : 1547921200.000
mean :  0.205, stdev :  0.285, reliability : -0.389, time : 1547942700.000
mean :  0.207, stdev :  0.286, reliability : -0.381, time : 1547966300.000
mean :  0.207, stdev :  0.284, reliability : -0.370, time : 1547988500.000
mean :  0.203, stdev :  0.282, reliability : -0.388, time : 1548011400.000
mean :  0.208, stdev :  0.284, reliability : -0.365, time : 1548033400.000
mean :  0.208, stdev :  0.284, reliability : -0.366, time : 1548055600.000
mean :  0.203, stdev :  0.280, reliability : -0.378, time : 1548079100.000
mean :  0.205, stdev :  0.281, reliability : -0.367, time : 1548100700.000
mean :  0.205, stdev :  0.281, reliability : -0.371, time : 1548122400.000
mean :  0.206, stdev :  0.282, reliability : -0.369, time : 1548146300.000
mean :  0.200, stdev :  0.276, reliability : -0.381, time : 1548168100.000
mean :  0.128, stdev :  0.194, reliability : -0.517, time : 1548190500.000
mean :  0.076, stdev :  0.128, reliability : -0.680, time : 1548213100.000
mean :  0.069, stdev :  0.118, reliability : -0.711, time : 1548235100.000
mean :  0.063, stdev :  0.108, reliability : -0.724, time : 1548258700.000
mean :  0.080, stdev :  0.135, reliability : -0.693, time : 1548279900.000
mean :  0.084, stdev :  0.139, reliability : -0.659, time : 1548301600.000
mean :  0.081, stdev :  0.133, reliability : -0.646, time : 1548325500.000
mean :  0.072, stdev :  0.119, reliability : -0.650, time : 1548346900.000
mean :  0.070, stdev :  0.118, reliability : -0.692, time : 1548368400.000
mean :  0.065, stdev :  0.110, reliability : -0.680, time : 1548392200.000
mean :  0.066, stdev :  0.112, reliability : -0.680, time : 1548413700.000
mean :  0.065, stdev :  0.109, reliability : -0.681, time : 1548436100.000
mean :  0.063, stdev :  0.106, reliability : -0.675, time : 1548458500.000
mean :  0.069, stdev :  0.112, reliability : -0.630, time : 1548480400.000
mean :  0.071, stdev :  0.115, reliability : -0.631, time : 1548504100.000
mean :  0.078, stdev :  0.125, reliability : -0.596, time : 1548525400.000
mean :  0.106, stdev :  0.161, reliability : -0.521, time : 1548547100.000
mean :  0.178, stdev :  0.251, reliability : -0.405, time : 1548570800.000
mean :  0.201, stdev :  0.280, reliability : -0.394, time : 1548592400.000
mean :  0.204, stdev :  0.281, reliability : -0.379, time : 1548613900.000
mean :  0.202, stdev :  0.277, reliability : -0.372, time : 1548637800.000
mean :  0.201, stdev :  0.281, reliability : -0.393, time : 1548659600.000
mean :  0.203, stdev :  0.280, reliability : -0.380, time : 1548682400.000
