v
  0.176, reliability : -0.545, time : 220393970.000
mean :  4.764, stdev :  0.290, reliability :  0.939, time : 226248480.000
mean :  4.766, stdev :  0.289, reliability :  0.939, time : 226271660.000
mean :  4.769, stdev :  0.291, reliability :  0.939, time : 226294830.000
mean :  4.766, stdev :  0.290, reliability :  0.939, time : 226317980.000
mean :  4.772, stdev :  0.290, reliability :  0.939, time : 226341150.000
mean :  4.765, stdev :  0.290, reliability :  0.939, time : 226364340.000
mean :  4.769, stdev :  0.288, reliability :  0.940, time : 226387500.000
mean :  4.775, stdev :  0.290, reliability :  0.939, time : 226410700.000
mean :  4.771, stdev :  0.289, reliability :  0.939, time : 226433810.000
mean :  4.772, stdev :  0.288, reliability :  0.940, time : 226457010.000
mean :  4.773, stdev :  0.288, reliability :  0.940, time : 226480190.000
mean :  4.764, stdev :  0.293, reliability :  0.939, time : 226503380.000
mean :  4.771, stdev :  0.290, reliability :  0.939, time : 226526500.000
mean :  4.761, stdev :  0.292, reliability :  0.939, time : 226549680.000
mean :  4.765, stdev :  0.290, reliability :  0.939, time : 226572850.000
mean :  4.765, stdev :  0.290, reliability :  0.939, time : 226596050.000
mean :  4.763, stdev :  0.293, reliability :  0.939, time : 226619180.000
mean :  4.768, stdev :  0.291, reliability :  0.939, time : 226642350.000
mean :  4.763, stdev :  0.291, reliability :  0.939, time : 226665520.000
mean :  4.763, stdev :  0.291, reliability :  0.939, time : 226688670.000
mean :  4.767, stdev :  0.291, reliability :  0.939, time : 226711860.000
mean :  4.761, stdev :  0.292, reliability :  0.939, time : 226734980.000
mean :  4.766, stdev :  0.292, reliability :  0.939, time : 226758190.000
mean :  4.766, stdev :  0.289, reliability :  0.939, time : 226781340.000
mean :  4.759, stdev :  0.293, reliability :  0.938, time : 226804530.000
mean :  4.768, stdev :  0.292, reliability :  0.939, time : 226827710.000
mean :  4.759, stdev :  0.293, reliability :  0.938, time : 226850880.000
mean :  4.763, stdev :  0.291, reliability :  0.939, time : 226874060.000
mean :  4.763, stdev :  0.290, reliability :  0.939, time : 226897220.000
mean :  4.760, stdev :  0.292, reliability :  0.939, time : 226920430.000
mean :  4.768, stdev :  0.291, reliability :  0.939, time : 226943580.000
mean :  4.764, stdev :  0.291, reliability :  0.939, time : 226966740.000
mean :  4.763, stdev :  0.291, reliability :  0.939, time : 226989920.000
mean :  4.766, stdev :  0.290, reliability :  0.939, time : 227013100.000
mean :  4.761, stdev :  0.292, reliability :  0.939, time : 227036220.000
mean :  4.763, stdev :  0.292, reliability :  0.939, time : 227059410.000
mean :  4.765, stdev :  0.289, reliability :  0.939, time : 227082560.000
mean :  4.760, stdev :  0.292, reliability :  0.939, time : 227105710.000
