mean :  4.586, stdev :  0.438, reliability :  0.904, time : 2100832100.000
mean :  4.589, stdev :  0.435, reliability :  0.905, time : 2100854000.000
mean :  4.581, stdev :  0.440, reliability :  0.904, time : 2100880100.000
mean :  4.596, stdev :  0.435, reliability :  0.905, time : 2100900600.000
mean :  4.590, stdev :  0.432, reliability :  0.906, time : 2100925700.000
mean :  4.588, stdev :  0.435, reliability :  0.905, time : 2100947700.000
mean :  4.595, stdev :  0.438, reliability :  0.905, time : 2100969900.000
mean :  4.581, stdev :  0.439, reliability :  0.904, time : 2100995100.000
mean :  4.596, stdev :  0.436, reliability :  0.905, time : 2101016200.000
mean :  4.597, stdev :  0.431, reliability :  0.906, time : 2101042200.000
mean :  4.589, stdev :  0.434, reliability :  0.905, time : 2101063000.000
mean :  4.596, stdev :  0.437, reliability :  0.905, time : 2101086300.000
mean :  4.586, stdev :  0.437, reliability :  0.905, time : 2101109900.000
mean :  4.594, stdev :  0.435, reliability :  0.905, time : 2101131500.000
mean :  4.594, stdev :  0.433, reliability :  0.906, time : 2101157800.000
mean :  4.580, stdev :  0.442, reliability :  0.903, time : 2101178400.000
mean :  4.597, stdev :  0.435, reliability :  0.905, time : 2101202400.000
mean :  4.591, stdev :  0.432, reliability :  0.906, time : 2101225200.000
mean :  4.590, stdev :  0.434, reliability :  0.905, time : 2101246800.000
mean :  4.599, stdev :  0.435, reliability :  0.905, time : 2101273200.000
mean :  4.582, stdev :  0.440, reliability :  0.904, time : 2101293800.000
mean :  4.595, stdev :  0.437, reliability :  0.905, time : 2101318800.000
mean :  4.592, stdev :  0.434, reliability :  0.905, time : 2101340500.000
mean :  4.585, stdev :  0.435, reliability :  0.905, time : 2101362700.000
mean :  4.596, stdev :  0.435, reliability :  0.905, time : 2101388300.000
mean :  4.582, stdev :  0.438, reliability :  0.904, time : 2101409300.000
mean :  4.595, stdev :  0.434, reliability :  0.906, time : 2101434800.000
mean :  4.595, stdev :  0.432, reliability :  0.906, time : 2101456100.000
mean :  4.583, stdev :  0.440, reliability :  0.904, time : 2101479000.000
mean :  4.596, stdev :  0.436, reliability :  0.905, time : 2101503100.000
mean :  4.592, stdev :  0.432, reliability :  0.906, time : 2101524600.000
mean :  4.593, stdev :  0.433, reliability :  0.906, time : 2101550700.000
mean :  4.598, stdev :  0.436, reliability :  0.905, time : 2101571500.000
mean :  4.588, stdev :  0.437, reliability :  0.905, time : 2101595000.000
mean :  4.600, stdev :  0.433, reliability :  0.906, time : 2101618200.000
mean :  4.596, stdev :  0.432, reliability :  0.906, time : 2101639700.000
mean :  4.592, stdev :  0.434, reliability :  0.906, time : 2101666200.000
mean :  4.601, stdev :  0.434, reliability :  0.906, time : 2101686800.000
mean :  4.589, stdev :  0.435, reliability :  0.905, time : 2101711400.000
mean :  4.598, stdev :  0.434, reliability :  0.906, time : 2101733500.000
mean :  4.596, stdev :  0.432, reliability :  0.906, time : 2101755400.000
mean :  4.587, stdev :  0.437, reliability :  0.905, time : 2101781500.000
mean :  4.597, stdev :  0.437, reliability :  0.905, time : 2101802100.000
mean :  4.589, stdev :  0.434, reliability :  0.905, time : 2101827300.000
mean :  4.590, stdev :  0.435, reliability :  0.905, time : 2101849100.000
mean :  4.600, stdev :  0.435, reliability :  0.905, time : 2101871600.000
mean :  4.585, stdev :  0.439, reliability :  0.904, time : 2101896200.000
mean :  4.601, stdev :  0.432, reliability :  0.906, time : 2101917600.000
mean :  4.595, stdev :  0.432, reliability :  0.906, time : 2101943800.000
