mean :  1.148, stdev :  0.897, reliability :  0.219, time : 280879300.000
mean :  1.110, stdev :  0.902, reliability :  0.187, time : 280902110.000
mean :  1.142, stdev :  0.911, reliability :  0.202, time : 280924770.000
mean :  1.138, stdev :  0.910, reliability :  0.200, time : 280947580.000
mean :  1.120, stdev :  0.904, reliability :  0.193, time : 280970370.000
mean :  1.170, stdev :  0.923, reliability :  0.211, time : 280993060.000
mean :  1.327, stdev :  1.070, reliability :  0.194, time : 281015840.000
mean :  1.620, stdev :  1.213, reliability :  0.251, time : 281038460.000
mean :  1.660, stdev :  1.221, reliability :  0.264, time : 281061250.000
mean :  1.619, stdev :  1.226, reliability :  0.242, time : 281084060.000
mean :  1.666, stdev :  1.234, reliability :  0.260, time : 281106720.000
mean :  1.677, stdev :  1.215, reliability :  0.275, time : 281129500.000
mean :  1.630, stdev :  1.224, reliability :  0.249, time : 281152320.000
mean :  1.675, stdev :  1.239, reliability :  0.260, time : 281174940.000
mean :  1.667, stdev :  1.233, reliability :  0.260, time : 281197760.000
mean :  1.648, stdev :  1.228, reliability :  0.255, time : 281220510.000
mean :  1.692, stdev :  1.244, reliability :  0.264, time : 281243200.000
mean :  1.663, stdev :  1.246, reliability :  0.251, time : 281265980.000
mean :  1.679, stdev :  1.244, reliability :  0.259, time : 281288670.000
mean :  1.717, stdev :  1.246, reliability :  0.274, time : 281311390.000
mean :  1.668, stdev :  1.255, reliability :  0.248, time : 281334240.000
mean :  1.714, stdev :  1.260, reliability :  0.265, time : 281356900.000
mean :  1.729, stdev :  1.246, reliability :  0.280, time : 281379680.000
mean :  1.678, stdev :  1.250, reliability :  0.255, time : 281402530.000
mean :  1.717, stdev :  1.261, reliability :  0.265, time : 281425220.000
mean :  1.714, stdev :  1.250, reliability :  0.271, time : 281447970.000
mean :  1.682, stdev :  1.248, reliability :  0.258, time : 281470780.000
mean :  1.710, stdev :  1.255, reliability :  0.266, time : 281493410.000
mean :  1.678, stdev :  1.254, reliability :  0.253, time : 281516190.000
mean :  1.687, stdev :  1.246, reliability :  0.261, time : 281538940.000
mean :  1.718, stdev :  1.246, reliability :  0.275, time : 281561660.000
mean :  1.661, stdev :  1.253, reliability :  0.245, time : 281584480.000
