 0.000, reliability :    NAN, time : 583165700.000
mean :  2.894, stdev :  0.177, reliability :  0.939, time : 587182340.000
mean :  2.668, stdev :  0.170, reliability :  0.936, time : 587205440.000
mean :  2.458, stdev :  0.162, reliability :  0.934, time : 587228540.000
mean :  2.265, stdev :  0.156, reliability :  0.931, time : 587251900.000
mean :  2.089, stdev :  0.149, reliability :  0.929, time : 587274880.000
mean :  1.925, stdev :  0.143, reliability :  0.926, time : 587298110.000
mean :  1.774, stdev :  0.137, reliability :  0.923, time : 587321410.000
mean :  1.635, stdev :  0.131, reliability :  0.920, time : 587344510.000
mean :  1.506, stdev :  0.126, reliability :  0.917, time : 587367680.000
mean :  1.388, stdev :  0.120, reliability :  0.913, time : 587390980.000
mean :  1.278, stdev :  0.115, reliability :  0.910, time : 587414140.000
mean :  1.177, stdev :  0.111, reliability :  0.906, time : 587437310.000
mean :  1.084, stdev :  0.106, reliability :  0.902, time : 587460540.000
mean :  0.998, stdev :  0.101, reliability :  0.898, time : 587483780.000
mean :  0.919, stdev :  0.097, reliability :  0.894, time : 587507010.000
mean :  0.847, stdev :  0.093, reliability :  0.890, time : 587530300.000
mean :  0.780, stdev :  0.090, reliability :  0.885, time : 587553410.000
mean :  0.719, stdev :  0.086, reliability :  0.881, time : 587576580.000
mean :  0.662, stdev :  0.082, reliability :  0.876, time : 587599940.000
mean :  0.610, stdev :  0.079, reliability :  0.870, time : 587623100.000
mean :  0.561, stdev :  0.075, reliability :  0.866, time : 587646270.000
mean :  0.516, stdev :  0.073, reliability :  0.859, time : 587669700.000
mean :  0.475, stdev :  0.069, reliability :  0.854, time : 587692800.000
mean :  0.437, stdev :  0.067, reliability :  0.848, time : 587715970.000
mean :  0.402, stdev :  0.064, reliability :  0.841, time : 587739330.000
mean :  0.370, stdev :  0.061, reliability :  0.835, time : 587762500.000
mean :  0.340, stdev :  0.059, reliability :  0.827, time : 587785660.000
mean :  0.313, stdev :  0.056, reliability :  0.820, time : 587808960.000
mean :  0.288, stdev :  0.054, reliability :  0.813, time : 587832260.000
mean :  0.264, stdev :  0.052, reliability :  0.804, time : 587855420.000
mean :  0.242, stdev :  0.049, reliability :  0.796, time : 587878850.000
mean :  0.223, stdev :  0.048, reliability :  0.787, time : 587901950.000
mean :  0.204, stdev :  0.045, reliability :  0.778, time : 587924930.000
mean :  0.188, stdev :  0.043, reliability :  0.769, time : 587948290.000
mean :  0.172, stdev :  0.042, reliability :  0.757, time : 587971460.000
mean :  0.158, stdev :  0.040, reliability :  0.748, time : 587994560.000
mean :  0.145, stdev :  0.038, reliability :  0.736, time : 588017730.000
mean :  0.133, stdev :  0.037, reliability :  0.724, time : 588040830.000
mean :  0.122, stdev :  0.035, reliability :  0.713, time : 588063870.000
mean :  0.111, stdev :  0.034, reliability :  0.698, time : 588087100.000
mean :  0.102, stdev :  0.032, reliability :  0.685, time : 588110080.000
mean :  0.093, stdev :  0.031, reliability :  0.670, time : 588133380.000
mean :  0.085, stdev :  0.029, reliability :  0.654, time : 588156610.000
mean :  0.077, stdev :  0.028, reliability :  0.639, time : 588179710.000
mean :  0.071, stdev :  0.027, reliability :  0.621, time : 588202940.000
mean :  0.064, stdev :  0.026, reliability :  0.601, time : 588226180.000
mean :  0.058, stdev :  0.024, reliability :  0.583, time : 588249150.000
