0.000, reliability :    NAN, time : 853358020.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858486720.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858507580.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858529470.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858549700.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858571330.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858591870.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858613250.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858634560.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858655300.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858677250.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858697340.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858719040.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858739650.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858760960.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858782460.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858803070.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858824900.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858845120.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858866620.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858887620.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858908670.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858930370.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858950850.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858972480.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 858992900.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859014400.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859035580.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859056380.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859078140.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859098560.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859120260.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859140740.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859162050.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859183360.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859204100.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859225920.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859246210.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859267840.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859288510.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859309820.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859331140.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859351870.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859373820.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859393860.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859415490.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859436290.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859457540.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859479100.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859499580.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859521410.000
mean :  0.000, stdev :  0.000, reliability :    NAN, time : 859541700.000
